title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
My Dog Skip,Comedy-Drama-Family,en,A shy boy is unable to make friends in Yazoo City Mississippi in 1942 until his parents give him a terrier puppy for his ninth birthday. The dog which he names Skip becomes well known and loved throughout the community and enriches the life of the boy Willie as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.,9.05,Warner Bros. Pictures-Alcon Entertainment,2000-01-12,15.60727002719233,95.0,Released,Every family needs an optimist.,6.8,239.0,mississippi river-dog-pets,0.0,United States of America,English,1.9447,5.4331,0.7548,PG,17.386387730514198
Next Friday,Comedy,en,A streetwise man flees South Central Los Angeles heading to the suburbs and his lottery-winner uncle and cousin to avoid a neighborhood thug with a grudge who has just escaped from prison.,17.608,New Line Cinema,2000-01-12,16.213405830762646,98.0,Released,The suburbs make the hood look good.,6.5,475.0,prison-repayment-gang war-boy gang-revenge-prison escape-bully-escape-los angeles california-gang member-mexican american-cholo,0.0,United States of America,English,3.2183,2.5073,0.9141,R,17.9069731044993
Supernova,Science Fiction-Horror-Fantasy-Thriller,en,Set in the 22nd century when a battered salvage ship sends out a distress signal the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form.,11.103,Hammerhead Productions-Screenland Pictures-United Artists-Metro-Goldwyn-Mayer,2000-01-14,18.31532022829454,91.0,Released,"In the farthest reaches of space, something has gone terribly wrong.",4.957,315.0,black people-starship-future-supernova-blast,0.0,"Switzerland, United States of America",English,5.5735,3.2632,3.0546,PG-13,16.51203330587609
Ring 0,Horror-Thriller,ja,Taking place thirty years before the events of Ringu Ringu 0 provides the shocking background story of how the girl on the video became a deadly vengeful spirit.,9.197,Ring 0 Production Group,2000-01-22,15.60727002719233,99.0,Released,Discover the secret...,6.1,205.0,journalist-dying and death-theatre group-prequel-killer-wizard-parapsychology-japanese horror,0.0,Japan,Japanese,2.2732,1.7178,3.4217,NR,16.29356620983431
Isn't She Great,Comedy-Drama,de,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann the famed writer of ""The Valley of the Dolls"" and other trashy novels. Facing a failing career Susann meets a successful promoter who becomes her husband. After several failures to place her in commercials and a TV quiz show he hits upon the idea for her to become a writer. In the pre-1960s her books were looked upon as trash and non-printable. But then the sexual revolution hit and an audience was born for her books. The story shows the hidden behind-the-scenes story of Susann's life including her autistic son and her continuing bout with cancer which she hid up until her death.",2.7430000000000003,Universal Pictures-Mutual Film Company-Toho-BBC-Marubeni-Tele München Fernseh Produktionsgesellschaft (TMG)-Lobell/Bergman Productions,2000-01-28,17.399029496420383,95.0,Released,Talent isn't everything...,4.7,30.0,autism,0.0,United States of America,English,1.8918,2.0412,3.0844,R,14.91522091020652
The Broken Hearts Club: A Romantic Comedy,Comedy-Drama-Romance,en,A close-knit group of gay friends share the emotional roller coster of life relationships the death of friends new beginnings jealousy fatherhood and professional success. At various stages of life's disarray these young men share humorous and tragic relationships and always have each other to rely on.,6.647,Banner Entertainment-Meanwhile Films,2000-02-01,13.815510557964274,96.0,Released,The shortest distance between friends isn't always a straight line.,6.566,68.0,roommate-baseball-male friendship-in vitro fertilisation-relationship problems-romantic comedy-lesbian relationship-gay interest-lgbt-gay friends-gay-gay relationship,0.0,United States of America,English,4.296,2.6312,0.7111,R,14.372183734949344
The Beach,Drama-Adventure-Romance-Thriller,en,Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise a tropical bliss - excited and intrigued he sets out to find it.,15.389,Figment Films,2000-02-03,17.50439001207821,119.0,Released,Somewhere on this planet it must exist.,6.5,3866.0,hippie-based on novel or book-exotic island-beach-map-group dynamics-commune-shark attack-leader-thailand-community-backpacker-delusion-marijuana-shark-extramarital affair,0.0,"United States of America, United Kingdom","English, French, Croatian, Swedish, Thai",13.1864,1.5672,1.0605,R,18.785718730956393
Scream 3,Horror-Mystery,en,While Sidney lives in safely guarded seclusion bodies begin dropping around the Hollywood set of STAB 3 the latest movie based on the gruesome Woodsboro killings.,80.17399999999999,Craven-Maddalena Films-Dimension Films-Konrad Pictures,2000-02-03,17.50439001207821,116.0,Released,Someone has taken their love of trilogies one step too far.,5.964,2820.0,movie business-isolation-mask-ex-cop-serial killer-reporter-slasher-hollywood-self-referential-metacinema,0.0,United States of America,English,2.5795,5.4998,4.6881,R,18.902083381933338
Gun Shy,Action-Comedy-Romance-Thriller,en,Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown and in complete fear of trigger-happy Mafia leader Fulvio Nesstra Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.,7.221,Fortis Films-Hollywood Pictures,2000-02-04,16.11809565095832,101.0,Released,The Agency's best has a bad case of nerves.,5.3,110.0,drug cartel-nervous breakdown,0.0,United States of America,English,7.729,10.0451,2.9687,R,14.305218157678981
The Million Dollar Hotel,Drama-Thriller,en,The Million Dollar Hotel starts with a jump from a roof top that clears up a death in a hotel that was burning to the ground where a lot of strange people had been living.,9.043,Kintop Pictures,2000-02-09,15.89495209964411,122.0,Released,Everyone has something to hide.,5.9,270.0,hotel-fbi-confidence-junkie-friendship-insanity-los angeles california-drugs,0.0,"Germany, United Kingdom, United States of America",English,7.9623,7.313,2.557,R,11.57103398287389
Snow Day,Comedy-Family-Adventure,en,"When an entire town in upstate New York is closed down by an unexpected snowfall a ""snow day"" begins when a group of elementary school kids led by Natalie Brandston try to ensure that the schools stay closed by stopping a mechanical snowplow driver by trying to hijack his plow truck. Meanwhile Natalie's big brother Hal is using this day to try to win the affections of Claire Bonner the most popular girl in his high school while Hal and Natalie's father Tom a TV meteorologist faces off against a rival meteorologist for weather coverage of the day's events.",8.716000000000001,Paramount-Nickelodeon Movies-MFF Feature Film Productions-Snow Day Productions-New Faction Pictures-C.O.R.E. Digital Pictures,2000-02-11,16.38045991542581,89.0,Released,Roads closed. Schools shut. Rules were made to be frozen!,5.1,177.0,high school-elementary school-rivalry-prank-teenage crush-hijinks-new york state-meteorologist-snowball fight-snowplow-popular girl-snow day,0.0,"Germany, United States of America",English,0.0804,0.7617,0.6675,PG,17.950112651427204
