title,release_date,budget,runtime,actor_1_popularity,actor_2_popularity,actor_3_popularity,revenue,country_United States of America,country_United Kingdom,country_France,country_Germany,country_Canada,country_Japan,country_China,country_Australia,country_India,country_Spain,studio_Universal Pictures,studio_Warner Bros. Pictures,studio_Columbia Pictures,studio_20th Century Fox,studio_Paramount,studio_New Line Cinema,studio_Walt Disney Pictures,studio_Lionsgate,studio_Relativity Media,studio_Metro-Goldwyn-Mayer,studio_DreamWorks Pictures,studio_Canal+,studio_Summit Entertainment,studio_StudioCanal,studio_Village Roadshow Pictures,studio_Miramax,studio_Touchstone Pictures,studio_Screen Gems,studio_Dune Entertainment,studio_Blumhouse Productions,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,spoken_language_English,spoken_language_Spanish,spoken_language_French,spoken_language_German,spoken_language_Russian,original_language_af,original_language_ca,original_language_cn,original_language_da,original_language_de,original_language_el,original_language_en,original_language_es,original_language_fa,original_language_fi,original_language_fr,original_language_he,original_language_hi,original_language_hu,original_language_id,original_language_it,original_language_ja,original_language_kn,original_language_ko,original_language_ml,original_language_nl,original_language_no,original_language_pl,original_language_pt,original_language_ro,original_language_ru,original_language_sv,original_language_ta,original_language_te,original_language_th,original_language_tl,original_language_tr,original_language_ur,original_language_zh,mpaa_rating_G,mpaa_rating_NC-17,mpaa_rating_NR,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R,num_keywords,overview_word_count,tagline_word_count,kw_aftercreditsstinger,kw_based,kw_book,kw_child,kw_city,kw_death,kw_director,kw_duringcreditsstinger,kw_family,kw_father,kw_friendship,kw_love,kw_murder,kw_new,kw_novel,kw_police,kw_relationship,kw_school,kw_sequel,kw_story,kw_true,kw_war,kw_woman,kw_world,kw_york,text_theme_1,text_theme_2,text_theme_3,text_theme_4,text_theme_5
My Dog Skip,2000-01-12,15.60727002719233,95.0,1.9447,5.4331,0.7548,17.386387730514198,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076741891408778,0.0496596521845938,-0.07484610087083433,0.040075085877428585,-0.0710882306782373
Next Friday,2000-01-12,16.213405830762646,98.0,3.2183,2.5073,0.9141,17.9069731044993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13952732953429606,0.01704186633661009,-0.028789509479360893,-0.026726059167807077,0.13715259750162076
Supernova,2000-01-14,18.31532022829454,91.0,5.5735,3.2632,3.0546,16.51203330587609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10969665655117479,-0.07590769279834123,0.05037796892450799,-0.008441171131337834,0.04152461090911081
Ring 0,2000-01-22,15.60727002719233,99.0,2.2732,1.7178,3.4217,16.29356620983431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,28,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16904307950176078,0.01791061399889063,0.09317960940911094,0.017975541181164297,-0.04833534345456894
Isn't She Great,2000-01-28,17.399029496420383,95.0,1.8918,2.0412,3.0844,14.91522091020652,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18255648285477005,0.18111530266120435,0.07183288951074905,0.03294426689819271,-0.02130351760418383
The Broken Hearts Club: A Romantic Comedy,2000-02-01,13.815510557964274,96.0,4.296,2.6312,0.7111,14.372183734949344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,47,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2639622209028192,0.039732884630644345,-0.07240073130734438,-0.18299101438057067,0.01353632217528257
The Beach,2000-02-03,17.50439001207821,119.0,13.1864,1.5672,1.0605,18.785718730956397,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,37,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08896114186766657,-0.03137752402110336,0.010572087767149428,-0.01328237738423448,0.02837669873855746
Scream 3,2000-02-03,17.50439001207821,116.0,2.5795,5.4998,4.6881,18.902083381933338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15426933703927864,0.11995782013892775,0.03754076239408514,-0.021974361797334672,-0.09767585032537049
Gun Shy,2000-02-04,16.11809565095832,101.0,7.729,10.0451,2.9687,14.30521815767898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,56,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15515979438817304,-0.059055628950427486,-0.015344538101110975,-0.04731622199457145,0.051518233157473274
The Million Dollar Hotel,2000-02-09,15.89495209964411,122.0,7.9623,7.313,2.557,11.57103398287389,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,35,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09792393679220789,-0.021463449499333105,-0.018009354318314363,-0.005905821018930193,0.045886687515971435
